"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000152284",795.912032389325,-2.57614815622101,0.0850765676763622,-30.2803489442695,2.08019079768503e-201,5.76881867854389e-200,"TCF7L1"
"ENSG00000176692",33.8376813110925,-2.33874322891379,0.152532303428082,-15.3327732968806,4.61839942001784e-53,2.33594147956655e-52,"FOXC2"
"ENSG00000169840",156.748235771456,-2.3248798398815,0.224217805005075,-10.3688457739959,3.43650401443952e-25,1.0781086588117e-24,"GSX1"
"ENSG00000120738",8568.69701034542,-2.32057611700583,0.114970980476961,-20.1840160654353,1.35294541558713e-90,1.10970904449611e-89,"EGR1"
"ENSG00000139515",5.61964282003482,-2.30327407534702,0.390564932624058,-5.89728847357644,3.69523513183839e-09,7.44488340261524e-09,"PDX1"
"ENSG00000163497",22.1730114089891,-2.23921688132249,0.289252890060827,-7.7413811867242,9.83425702566646e-15,2.38730216943331e-14,"FEV"
"ENSG00000120075",27.8568481330373,-2.19158139963002,0.25639699323475,-8.54760959549735,1.25663946068933e-17,3.29432527663187e-17,"HOXB5"
"ENSG00000120068",57.7196319924659,-2.18260028393512,0.305069215080233,-7.15444291342572,8.40133989147175e-13,1.92283632217801e-12,"HOXB8"
"ENSG00000176083",9.15113542453284,-2.0358958455449,0.168848061370488,-12.0575612714778,1.76945042641242e-33,6.52476481060183e-33,"ZNF683"
"ENSG00000169136",1022.91411514124,-2.0171227378936,0.0790972348090278,-25.5018110653772,1.88214461915204e-143,2.76491220223502e-142,"ATF5"
"ENSG00000261221",726.960052643975,-1.97977741803281,0.0599890941584116,-33.0022889294655,7.53090794928297e-239,3.02103752394796e-237,"ZNF865"
"ENSG00000176165",1643.17410101683,-1.9743194134757,0.134133484903396,-14.7190644819049,4.86341760757093e-49,2.31697050954396e-48,"FOXG1"
"ENSG00000203883",233.527979858099,-1.95195066339368,0.0961116876544912,-20.3091914316465,1.06645525873335e-91,8.84874092619195e-91,"SOX18"
"ENSG00000197576",22.3861312170754,-1.94482191285737,0.202049562057297,-9.62546957813181,6.24211585284308e-22,1.81911346257002e-21,"HOXA4"
"ENSG00000261678",156.034032143496,-1.9111162334311,0.182678183405855,-10.4616555617108,1.29571629578555e-25,4.10262989598927e-25,"SCRT1"
"ENSG00000173917",253.748437510391,-1.83383624531716,0.191537622553545,-9.57428739518004,1.02562124231122e-21,2.97566643460565e-21,"HOXB2"
"ENSG00000175592",296.713482089285,-1.83135393793819,0.132255405836889,-13.8471008148945,1.32450956327908e-43,5.79624232350769e-43,"FOSL1"
"ENSG00000204060",153.521964768278,-1.82650922642108,0.124270172925493,-14.6978891508921,6.65005366399333e-49,3.16055807013397e-48,"FOXO6"
"ENSG00000184058",73.3591102956926,-1.78803059935972,0.181011960111592,-9.87796937979912,5.18733919458499e-23,1.54806226553734e-22,"TBX1"
"ENSG00000157613",537.574406840341,-1.76006833295673,0.14965119849428,-11.7611375696667,6.18946917851003e-32,2.2166532446595e-31,"CREB3L1"
"ENSG00000136574",63.5877849701885,-1.69418632102717,0.250706967770608,-6.7576355619175,1.40261789462617e-11,3.08450564436344e-11,"GATA4"
"ENSG00000137203",202.948638157293,-1.69051154731996,0.17943172162797,-9.42147537783218,4.44793481607903e-21,1.27239071910813e-20,"TFAP2A"
"ENSG00000183072",208.452044629296,-1.68995919369702,0.187633611652498,-9.006697567741,2.12354680726067e-19,5.81390043188457e-19,"NKX2-5"
"ENSG00000075891",15.9276232433403,-1.68069891005407,0.249262774072189,-6.74267915179073,1.55492330863424e-11,3.41300416350681e-11,"PAX2"
"ENSG00000185551",1108.05790504116,-1.67231600888819,0.105803546092603,-15.8058597338932,2.8349622995908e-56,1.49685339610409e-55,"NR2F2"
"ENSG00000171056",47.2836224674198,-1.66655810964447,0.0796851410079321,-20.91428952204,3.96895823720785e-97,3.51098641092538e-96,"SOX7"
"ENSG00000162992",169.808197487036,-1.62371574891275,0.210566565427646,-7.71117554021501,1.24664049776376e-14,3.01725254770134e-14,"NEUROD1"
"ENSG00000129194",323.006547996665,-1.61499197262832,0.0861611720242818,-18.7438487045323,2.1732457892801e-78,1.53915046431069e-77,"SOX15"
"ENSG00000037965",56.5930735981492,-1.58679244529117,0.189286292073787,-8.38302883904879,5.15828311356689e-17,1.33368374717049e-16,"HOXC8"
"ENSG00000100146",2383.08634503364,-1.57749486619387,0.217095232181497,-7.26637268972837,3.69268905008715e-13,8.54195137205098e-13,"SOX10"
"ENSG00000123364",88.9711878075347,-1.57748213020282,0.258853405417603,-6.09411387753582,1.10045304765427e-09,2.26041510313236e-09,"HOXC13"
"ENSG00000115844",102.885520385562,-1.57084346708721,0.216650228654656,-7.2505968576251,4.14939023535728e-13,9.58723111545912e-13,"DLX2"
"ENSG00000107485",41.1686606848355,-1.56723739376316,0.188695865207638,-8.30562658084001,9.92940528437035e-17,2.54773823385121e-16,"GATA3"
"ENSG00000133250",554.105871293629,-1.5426722605872,0.0557912883491684,-27.6507731983606,2.73168234221505e-168,5.37457999788563e-167,"ZNF414"
"ENSG00000176182",300.030269627292,-1.51339034764035,0.0564009008722979,-26.8327335952832,1.34158344291466e-158,2.34761782633882e-157,"MYPOP"
"ENSG00000198816",1280.84282482911,-1.50652053530001,0.0520723394542534,-28.9313011685124,4.8242575410297e-184,1.1167208845731e-182,"ZNF358"
"ENSG00000137166",732.564386126586,-1.49521047000377,0.0832472795998042,-17.9610730487737,3.93133810868023e-72,2.57106923693398e-71,"FOXP4"
"ENSG00000186790",3.34872362877956,-1.44957296989218,0.187207200958124,-7.74314749899196,9.69854189849705e-15,2.35499636084748e-14,"FOXE3"
"ENSG00000129911",636.621674266143,-1.44137436665658,0.0614569193367282,-23.4534106527396,1.22011310417651e-121,1.41460324750115e-120,"KLF16"
"ENSG00000126368",647.67047936531,-1.41557547300427,0.090572407197333,-15.6292133201242,4.60452599138473e-55,2.389773050338e-54,"NR1D1"
"ENSG00000197757",94.9005530006699,-1.41134626990375,0.190723489165766,-7.39996041429951,1.36225100903046e-13,3.19750418461004e-13,"HOXC6"
"ENSG00000115507",300.163463521155,-1.41129079451761,0.178262443392382,-7.9169272431162,2.43452108662755e-15,6.00639882056129e-15,"OTX1"
"ENSG00000130522",4311.85426247445,-1.40936532423634,0.0621377883743036,-22.6812920303286,6.85467033521182e-114,7.341121980007e-113,"JUND"
"ENSG00000137273",302.195076766046,-1.40802609734189,0.105832132277476,-13.3043345819609,2.18429090978186e-40,9.06190119548577e-40,"FOXF2"
"ENSG00000173404",769.407338693773,-1.38973823475984,0.171698471433018,-8.09406294162613,5.77068467391552e-16,1.45075889097584e-15,"INSM1"
"ENSG00000066336",1516.19416398472,-1.38239715775756,0.0951627806101925,-14.5266578897075,8.21308833912076e-48,3.83945593986231e-47,"SPI1"
"ENSG00000105996",131.609353520438,-1.38204608670648,0.191513579898976,-7.21643910283284,5.33665450926742e-13,1.22875473491049e-12,"HOXA2"
"ENSG00000105997",143.593313914929,-1.36575916524549,0.17079405786541,-7.99652623934807,1.27978507987999e-15,3.18352548463817e-15,"HOXA3"
"ENSG00000125798",10.6159530191503,-1.35582572361786,0.34845398608754,-3.89097492854406,9.98422500417956e-05,0.000163679521907986,"FOXA2"
"ENSG00000009950",264.803628997132,-1.35130115664981,0.114117364353266,-11.8413281301053,2.38643586065825e-32,8.62029235927698e-32,"MLXIPL"
