"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000248483",133.009599426475,6.39569478566361,0.112678109383515,56.7607569975729,0,0,"POU5F2"
"ENSG00000283463",3.15280797513715,3.3454162550103,0.203405012531066,16.4470688965905,8.80263563134574e-61,4.96394237673848e-60,"HSFX4"
"ENSG00000274529",0.925293130238292,2.80448150732801,0.275063465813118,10.1957615455679,2.07114876819487e-24,6.38340380607767e-24,"SEBOX"
"ENSG00000178919",10.4530520229787,2.75067646515571,0.208157464695757,13.2144022275449,7.24596667748633e-40,2.97937884682844e-39,"FOXE1"
"ENSG00000164532",10.7804447698101,2.67549042492746,0.292050347671584,9.16105885939948,5.13905550639589e-20,1.43146249301499e-19,"TBX20"
"ENSG00000119725",86.7951573218968,2.54662847749852,0.0861791261744353,29.5504096008572,6.48799269043199e-192,1.63446218862672e-190,"ZNF410"
"ENSG00000162924",563.318944892968,2.45527650862905,0.0699453085412945,35.1028047460752,6.10826204640931e-270,3.40197846933662e-268,"REL"
"ENSG00000174197",5532.69599239296,2.42275729874257,0.0477901652976388,50.6957296266619,0,0,"MGA"
"ENSG00000101076",7.70072849020984,2.38621855768665,0.170533384997508,13.9926769044168,1.72783882585871e-44,7.67079774738066e-44,"HNF4A"
"ENSG00000176302",7.95777000703837,2.36146420849678,0.196258790582235,12.0323996774417,2.40079763823091e-33,8.82854854500354e-33,"FOXR1"
"ENSG00000249709",36.0082728501768,2.34254157090417,0.0852332901880256,27.483880602714,2.73619537704295e-166,5.24118224472577e-165,"ZNF564"
"ENSG00000176160",10.4544772708441,2.29103909952041,0.109586023858545,20.9063073816577,4.69168876380464e-97,4.14826962014339e-96,"HSF5"
"ENSG00000269699",37.6863245460954,2.17165925952206,0.122859008073502,17.6760279410919,6.41602342474145e-70,4.08884268491662e-69,"ZIM2"
"ENSG00000167232",2911.53641924085,2.150186490387,0.0717876937629657,29.952020711052,4.14122340811709e-197,1.10228474576155e-195,"ZNF91"
"ENSG00000083307",15.1711355262721,2.11971955819603,0.139608007531172,15.1833665968103,4.5577572474908e-52,2.26994848372107e-51,"GRHL2"
"ENSG00000140009",200.427721653529,2.07543142579649,0.151966220965299,13.6571891609413,1.82908756372944e-42,7.85438610032543e-42,"ESR2"
"ENSG00000102908",2698.75214431471,1.96658009557914,0.0647911486200914,30.3526042902921,2.32132697096227e-202,6.49462966930571e-201,"NFAT5"
"ENSG00000184659",6.88447271695928,1.88132906281983,0.158896714323604,11.8399494339976,2.42599186374365e-32,8.76140647902678e-32,"FOXD4L4"
"ENSG00000169856",74.9839766188988,1.86277375414955,0.167568594524224,11.1164849203308,1.04300813857948e-28,3.51408370529378e-28,"ONECUT1"
"ENSG00000104447",4133.89501537577,1.84351620065501,0.0661562445046867,27.8660950974085,6.87531294619979e-171,1.38889090228429e-169,"TRPS1"
"ENSG00000283697",0.583286151669886,1.8006522359217,0.282568053244092,6.37245511390573,1.86025874351823e-10,3.93070627781809e-10,"HSFX3"
"ENSG00000268480",0.952336443578019,1.78489250101034,0.283947323729861,6.28599867596722,3.25752719640885e-10,6.82424082697416e-10,"NFILZ"
"ENSG00000159915",183.53266071263,1.75933373449612,0.0959734615145489,18.3314606635233,4.64268495477004e-75,3.1563666480433e-74,"ZNF233"
"ENSG00000111704",3.92676331662567,1.7173035104262,0.159097585442417,10.7940262301954,3.67335754151912e-27,1.20022454085797e-26,"NANOG"
"ENSG00000030419",802.041846523022,1.71001089355492,0.0674596643393205,25.3486421894068,9.30159584833884e-142,1.34978839753735e-140,"IKZF2"
"ENSG00000167800",3.24556615316035,1.56915852239833,0.193027234918713,8.12920789679822,4.32104676336893e-16,1.08994507880605e-15,"TBX10"
"ENSG00000178662",1695.00134912725,1.55228467289735,0.0988196271150723,15.7082628038028,1.32767502131473e-55,6.94175493207199e-55,"CSRNP3"
"ENSG00000162599",13220.8344181499,1.52634877515621,0.081004216827098,18.842831088833,3.3647707046799e-79,2.40717769740965e-78,"NFIA"
"ENSG00000091831",136.744287547077,1.52120644497531,0.0774524299332849,19.6405257560755,6.96731427388502e-86,5.40163246264165e-85,"ESR1"
"ENSG00000278570",17.2148664563279,1.51368895903778,0.120412595814432,12.5708523165677,3.05413450051606e-36,1.1818575021694e-35,"NR2E3"
"ENSG00000134532",1964.74562415042,1.50432267949442,0.0837041323011982,17.9719045898632,3.23418154453562e-72,2.11719874233643e-71,"SOX5"
"ENSG00000166268",80.0365738437055,1.44049073374904,0.143056743484091,10.0693661736347,7.54628180157605e-24,2.29442901443158e-23,"MYRFL"
"ENSG00000204779",2.63312687908712,1.42489418045539,0.22002826085994,6.47595983755204,9.42111064397219e-11,2.01119188138356e-10,"FOXD4L5"
"ENSG00000196724",673.218663955632,1.39342656718767,0.0753268539144436,18.49840388622,2.12679637417222e-76,1.47109358695322e-75,"ZNF418"
"ENSG00000186487",604.156707494803,1.33511143282692,0.212032962603639,6.29671639933969,3.04016758969393e-10,6.37636276027077e-10,"MYT1L"
"ENSG00000115112",1103.63640687192,1.3291424494973,0.184749673003538,7.19428850881835,6.27873062921312e-13,1.44263136086714e-12,"TFCP2L1"
"ENSG00000156273",3302.49806649037,1.32775768326019,0.0506755703026214,26.2011394313111,2.57912357724762e-151,4.17029586801624e-150,"BACH1"
"ENSG00000161298",747.69815170099,1.30996657581959,0.0589693890602635,22.214348778158,2.49573499418708e-109,2.53900323744745e-108,"ZNF382"
"ENSG00000124782",1644.50167254559,1.30383379777211,0.0690226976284042,18.8899281333732,1.38033549698281e-79,9.91999384231223e-79,"RREB1"
"ENSG00000069667",1874.54785134223,1.30346861746542,0.0790591458199884,16.4872590507532,4.5304006264989e-61,2.56203613666852e-60,"RORA"
"ENSG00000240445",407.435287671335,1.28521834754252,0.079605413583906,16.1448611304289,1.23425978976396e-58,6.74941777775286e-58,"FOXO3B"
"ENSG00000135100",6.69348196131404,1.26549412323637,0.129104191562798,9.80211492684823,1.10252611587269e-22,3.26755184277593e-22,"HNF1A"
"ENSG00000084093",2239.13411878866,1.20648297951361,0.0508956396411421,23.7050361881755,3.19929533549588e-124,3.83186703939227e-123,"REST"
"ENSG00000164684",3801.84014843451,1.20560546698105,0.093263634168259,12.9268549068761,3.17544902653178e-38,1.27032172066089e-37,"ZNF704"
"ENSG00000263002",907.61812211438,1.19392520777237,0.0482874389952589,24.725378537669,5.70626671803982e-135,7.72853305947847e-134,"ZNF234"
"ENSG00000143257",58.5579168672574,1.19018906303903,0.0710736372747121,16.745858361501,6.07084389782634e-63,3.52270519978382e-62,"NR1I3"
"ENSG00000143190",2136.10358104307,1.17128449912133,0.0593406827969888,19.7383050533549,1.0111333427665e-86,7.92505125031983e-86,"POU2F1"
"ENSG00000171116",4.30129115044835,1.16883247250694,0.179092407830668,6.52642111781799,6.73597655181018e-11,1.444531652858e-10,"HSFX1"
"ENSG00000140836",1752.79088040721,1.14687223241495,0.0636548846353306,18.0170341833971,1.43218334125942e-72,9.43657510136459e-72,"ZFHX3"
"ENSG00000072736",1083.31106281184,1.14419038881639,0.0457505144083335,25.0093447825359,4.83773310557889e-138,6.74992136796613e-137,"NFATC3"
"ENSG00000159917",468.079578180047,1.14135178603621,0.053858986900495,21.1914826423466,1.14436592559032e-99,1.0372979897433e-98,"ZNF235"
"ENSG00000205922",7.29431540340322,1.13315987998577,0.133987958475281,8.45717699471345,2.7392798829687e-17,7.12677842557086e-17,"ONECUT3"
"ENSG00000138738",826.351980622637,1.10812314417917,0.0676892397415847,16.3707429483567,3.09413680650082e-60,1.73063858045536e-59,"PRDM5"
"ENSG00000177463",3614.8962793276,1.09787987383717,0.0421196189031951,26.0657599101376,8.91703702470464e-150,1.41495965616275e-148,"NR2C2"
"ENSG00000110693",3709.13704094446,1.09444330967135,0.10882891871011,10.0565485961194,8.5959180265379e-24,2.60927877885185e-23,"SOX6"
"ENSG00000198963",1591.11407319525,1.08966368609492,0.137788619113945,7.90822705896931,2.61080307990136e-15,6.43569318813445e-15,"RORB"
"ENSG00000118922",2431.04860878748,1.08722394190517,0.0831392936634302,13.0771371032635,4.44882482254057e-39,1.8039485184255e-38,"KLF12"
"ENSG00000119547",289.425241671177,1.06690587535255,0.196187053103462,5.43820735606797,5.38193179050687e-08,1.0330119516589e-07,"ONECUT2"
"ENSG00000173320",1443.53488001654,1.05842330503262,0.085394220763324,12.3945542868306,2.7969653638397e-35,1.06611072648837e-34,"STOX2"
"ENSG00000134317",149.530210068918,1.0568980447317,0.115240443350782,9.17124243885965,4.67598148663122e-20,1.30430409327012e-19,"GRHL1"
"ENSG00000179059",0.457013823372873,1.04891711420206,0.379252573031839,2.76574818152652,0.00567923715546459,0.00824469361472968,"ZFP42"
"ENSG00000005102",6.58021747985855,1.03079042512018,0.167568885882428,6.15144285105181,7.67811936521646e-10,1.58735787701507e-09,"MEOX1"
"ENSG00000112246",9.53772114304161,1.02965225347264,0.280471122823029,3.67115246342963,0.000241459242996915,0.000386556773891008,"SIM1"
"ENSG00000181315",719.329988473484,1.01563622862371,0.047372351257232,21.4394304202636,5.73108075235109e-102,5.33184362656718e-101,"ZNF322"
"ENSG00000263001",2618.31623103794,1.01351317928095,0.049066715029428,20.6558188921571,8.65414302549246e-95,7.44198023134941e-94,"GTF2I"
"ENSG00000122180",14.1167275351696,0.99522944607407,0.126248421549892,7.88310407255877,3.19346872799986e-15,7.8532409752381e-15,"MYOG"
"ENSG00000178175",139.175886562428,0.984023713102434,0.0833723500118188,11.8027585040237,3.77722718712368e-32,1.35892006274612e-31,"ZNF366"
"ENSG00000186951",1506.98780885292,0.978508887012207,0.0556067450825834,17.596945938105,2.5997044600578e-69,1.64154166483094e-68,"PPARA"
"ENSG00000109906",3556.08288584771,0.971984120925705,0.111836244250386,8.6911370051874,3.58829998656229e-18,9.53643929831436e-18,"ZBTB16"
"ENSG00000127152",188.365600037283,0.966213819088014,0.146012567273385,6.61733326884756,3.65736348412871e-11,7.9173003353148e-11,"BCL11B"
"ENSG00000172789",7.08832191092626,0.953832290969439,0.196623595437936,4.85105711166042,1.22805174963895e-06,2.21933174540519e-06,"HOXC5"
"ENSG00000177311",4380.36127268008,0.937144723256326,0.0554895479780485,16.8886710633696,5.4517172129753e-64,3.20822252579237e-63,"ZBTB38"
"ENSG00000138380",822.924073536968,0.923910403996784,0.0460894763552023,20.0460165109361,2.18669057740359e-89,1.7705459303814e-88,"CARF"
"ENSG00000212993",16.6844694264869,0.922746777725962,0.119743566284264,7.70602385046237,1.29798381006666e-14,3.14024374888878e-14,"POU5F1B"
"ENSG00000082175",23.0258316124675,0.922692299752549,0.165869262980677,5.56276843082155,2.6552814089872e-08,5.16739343576269e-08,"PGR"
"ENSG00000189298",481.207069915911,0.902837575117825,0.0366534297620116,24.6317351740312,5.77619489959157e-134,7.7372736574599e-133,"ZKSCAN3"
"ENSG00000164916",4879.64969918009,0.902635353998546,0.0576726569854578,15.6510103952059,3.26986448478361e-55,1.70102727232671e-54,"FOXK1"
"ENSG00000196482",349.075769728706,0.89852951956196,0.0914750378160345,9.82267448053963,8.99255317649836e-23,2.66924897375789e-22,"ESRRG"
"ENSG00000204920",257.9544481872,0.878792236207128,0.0513756707884537,17.105221649089,1.35684620153002e-65,8.15567512864074e-65,"ZNF155"
"ENSG00000151623",803.067666187008,0.878506053067721,0.0997897876477554,8.80356671535098,1.32535328807999e-18,3.56132255775964e-18,"NR3C2"
"ENSG00000185129",2528.26518511788,0.878441925633347,0.0623206331191853,14.0955231304112,4.04638189429186e-45,1.81579356190135e-44,"PURA"
"ENSG00000176024",524.523287077751,0.865394174421492,0.0470427470392306,18.3959107171146,1.41660503477472e-75,9.69356907822242e-75,"ZNF613"
"ENSG00000164299",0.766548415290516,0.861982409303077,0.318467063507122,2.70666109019403,0.00679636001585168,0.00980329648199954,"SPZ1"
"ENSG00000155592",830.521231604108,0.856521148044929,0.052744164512355,16.2391641988052,2.66530789703875e-59,1.47220518794826e-58,"ZKSCAN2"
"ENSG00000075407",954.157653341109,0.855670606880272,0.07867804651318,10.8755954780465,1.50668726287105e-27,4.96160524693474e-27,"ZNF37A"
"ENSG00000169981",777.215702834677,0.850701504243452,0.046357180166256,18.3510192205929,3.2397771347412e-75,2.20818664181865e-74,"ZNF35"
"ENSG00000080298",2273.88502046312,0.848806014050648,0.0727647367437561,11.6650736611575,1.92236647865088e-31,6.82538088944534e-31,"RFX3"
"ENSG00000248767",2.33723203324147,0.843055604720407,0.270968240100357,3.11127091650361,0.00186283948888842,0.00280721342887364,"FOXL3"
"ENSG00000109381",2193.85966868065,0.836933446261567,0.0331582183073973,25.2406036567669,1.43629618173045e-140,2.05754031546289e-139,"ELF2"
"ENSG00000161405",102.601988580338,0.828939378211387,0.13272271829866,6.24564798579592,4.22046722465238e-10,8.80711770006248e-10,"IKZF3"
"ENSG00000064835",2.42434311988729,0.824432444701875,0.179397127927117,4.59557214894105,4.31563428608652e-06,7.5984744698301e-06,"POU1F1"
"ENSG00000189180",1158.65132506245,0.822465632708864,0.0603447061935203,13.6294579025919,2.67560383353411e-42,1.1452780208122e-41,"ZNF33A"
"ENSG00000187559",4.25364180336413,0.820923525638998,0.170084413712054,4.82656527851393,1.38907876814601e-06,2.50417971331192e-06,"FOXD4L3"
"ENSG00000143365",23.5975146788742,0.818975123177277,0.14697001797852,5.57239588347175,2.51259655638918e-08,4.89380120221438e-08,"RORC"
"ENSG00000164463",1615.47308483047,0.805566605502451,0.0493406789934639,16.3266218044783,6.3821847024414e-60,3.55343189381025e-59,"CREBRF"
"ENSG00000053254",2866.69443232088,0.804251378596734,0.0555530114259739,14.477187787892,1.68865965915879e-47,7.85853120688267e-47,"FOXN3"
"ENSG00000124459",1285.67293637835,0.790120697446408,0.0456947560671527,17.2912772810353,5.47260974834722e-67,3.35794475738308e-66,"ZNF45"
"ENSG00000134852",2156.90590314592,0.786260945636271,0.0801703078719469,9.80738338802612,1.04646872415859e-22,3.10227191861163e-22,"CLOCK"
"ENSG00000204531",34.4280153193686,0.784801478407132,0.109329357285422,7.17832335150638,7.05714956101825e-13,1.61857241631667e-12,"POU5F1"
"ENSG00000144792",627.166642829327,0.783574194935601,0.0588448213468109,13.3159414371825,1.87000284289607e-40,7.76763727353532e-40,"ZNF660"
"ENSG00000273514",3.41228542935743,0.779391280922673,0.191673407024369,4.06624629374685,4.77764437769267e-05,7.96655304067056e-05,"FOXD4L6"
"ENSG00000181690",176.021029152754,0.776781184870447,0.123224227807905,6.30380241523101,2.90430697374333e-10,6.09403388872695e-10,"PLAG1"
"ENSG00000089775",1004.59161897331,0.76591581136475,0.0478636396133081,16.0020386571646,1.23658603270822e-57,6.66228581399023e-57,"ZBTB25"
"ENSG00000168269",0.959385928182505,0.75914153367613,0.355092956547041,2.13786705615932,0.0325275346996828,0.0441576844204411,"FOXI1"
"ENSG00000185591",4281.79190477686,0.753928119685935,0.0419043788287772,17.991630964547,2.26589646075675e-72,1.4884150738056e-71,"SP1"
"ENSG00000125816",2.75593677516243,0.74353150674864,0.28115931485073,2.64452026831616,0.00818068071753884,0.0117237843581691,"NKX2-4"
"ENSG00000140548",1269.83412989469,0.740432348063921,0.0521531678696902,14.1972650619031,9.52580847690973e-46,4.31837724495458e-45,"ZNF710"
"ENSG00000196628",14317.7669105336,0.739766211162748,0.0613485751103452,12.0584090149145,1.75133360360942e-33,6.45884800219951e-33,"TCF4"
"ENSG00000083814",1075.56423894543,0.734553409514537,0.0525479262645465,13.9787325919678,2.10197951674429e-44,9.31561472492674e-44,"ZNF671"
"ENSG00000085276",761.319754030696,0.726946140650002,0.0881841892047285,8.24349747053094,1.67248461298136e-16,4.2676644813094e-16,"MECOM"
"ENSG00000105866",1340.96755577465,0.724692423732238,0.0546057483601075,13.2713577873363,3.39375237617621e-40,1.40307187962564e-39,"SP4"
"ENSG00000174306",7137.80987312595,0.717825312763802,0.0684120658456172,10.4926711960971,9.33512541872197e-26,2.96418279976161e-25,"ZHX3"
"ENSG00000213988",176.836186224813,0.705821207778421,0.0895085906452351,7.88551358803006,3.13244500744701e-15,7.70455633905407e-15,"ZNF90"
"ENSG00000158711",2180.32580655893,0.703179062543751,0.0606919088249691,11.5860429529687,4.85026841355018e-31,1.7079593992013e-30,"ELK4"
"ENSG00000112182",583.257750912006,0.699394144811869,0.0963515835797793,7.25877166546795,3.90621216879371e-13,9.02964328338427e-13,"BACH2"
"ENSG00000163848",3159.64469612392,0.693238210200087,0.0434492539185033,15.9551234527612,2.62454185675606e-57,1.40680269783384e-56,"ZNF148"
"ENSG00000118689",3799.42775384059,0.689271069572155,0.0608612120711764,11.3252931730321,9.83492720299899e-30,3.37872460674896e-29,"FOXO3"
"ENSG00000175387",5070.73927312571,0.688282950230135,0.0402287006119844,17.1092513493983,1.26616421719059e-65,7.61402081228836e-65,"SMAD2"
"ENSG00000170325",625.645753512789,0.676572683074462,0.0372820036237268,18.1474335420074,1.34541894184292e-73,8.98856496347823e-73,"PRDM10"
"ENSG00000225614",636.503663045311,0.676149647958494,0.107166459326543,6.30934018169082,2.80227567647406e-10,5.88431812825971e-10,"ZNF469"
"ENSG00000268738",2.49907977741996,0.675831376702912,0.228979017360935,2.95149915696255,0.00316235409430854,0.00468263436940295,"HSFX2"
"ENSG00000137265",32.2848786567708,0.6739304964247,0.131354713996259,5.13061523200372,2.88796700315678e-07,5.37469108044383e-07,"IRF4"
"ENSG00000267508",454.841142812349,0.666378833818295,0.0681329028471111,9.78057305607008,1.36435843236288e-22,4.03573793080468e-22,"ZNF285"
"ENSG00000269404",14.9188213942835,0.665741830004075,0.134092828850206,4.96478324540213,6.87778408621444e-07,1.25727018295851e-06,"SPIB"
"ENSG00000185669",108.509443855555,0.661532543541531,0.0778273686471512,8.499998844118,1.89592584294289e-17,4.95111922584473e-17,"SNAI3"
"ENSG00000118263",2230.07747998439,0.656905229343528,0.0553660106080919,11.8647744731588,1.80387908748725e-32,6.531815485977e-32,"KLF7"
"ENSG00000105392",2.15382374790227,0.650655839196301,0.172966002704034,3.76175565732217,0.000168724838080965,0.000272728005956255,"CRX"
